artist_name,track_name,danceability,energy,instrumentalness,tempo,music_genre
Shania Twain,Home Ain't Where His Heart Is (Anymore),0.483,0.309,0,124.479,Country
Eric Whitacre,Sleep,0.169,0.0378,0.0524,126.634,Classical
empty_field,Psycho,0.624,0.552,2.16e-5,128.012,Rap
Dillon Francis,Que Que feat. Maluca,0.788,0.696,0.087,109.981,Electronic
Local Natives,I Saw You Close Your Eyes,0.41,0.637,3.77e-5,77.398,Rock
Wiz Khalifa,True Colors (feat. Nicki Minaj),0.805,0.744,0,124.983,Hip-Hop
Ward Davis,Old Wore out Cowboys (feat. Jamey Johnson & Willie Nelson),0.647,0.444,0,106.158,Country
Claude Debussy,"PrÃ©ludes, Livre 1, L. 117: 8. La fille aux cheveux de lin. TrÃ¨s calme et doucement expressif",0.423,0.0227,0.884,69.641,Classical
Kenny Chesney,Somewhere In The Sun,0.694,0.547,0.00212,140.018,Country
St. Vincent,Los Ageless,0.527,0.716,8.71e-5,99.426,Rock
Danielle Bradbery,God Is A Woman - Yours Truly: 2018,0.552,0.394,3.24e-6,137.941,Country
The Rolling Stones,Jumpin' Jack Flash - Mono,0.596,0.901,0.749,137.359,Rock
Big Sean,Pull Up N Wreck (With Metro Boomin),0.507,0.442,1.48e-4,173.03,Hip-Hop
FrÃ©dÃ©ric Chopin,"Mazurka in C Major, Op. 56 No. 2",0.331,0.0957,0.9,101.1,Classical
Yusuf / Cat Stevens,Moonshadow,0.641,0.294,5.96e-5,130.777,Rock
Jason Isbell and the 400 Unit,Hope the High Road,0.45,0.802,1.92e-4,90.794,Rock
UNKLE,Only You,0.44,0.526,0.00577,128.017,Electronic
empty_field,Imagining Buffalo,0.161,0.145,0.838,110.293,Classical
Ryan Caraveo,Ghost,0.749,0.637,0.00417,139.988,Rap
The Unlikely Candidates,Strange Love,0.691,0.913,0,125.977,Rock
The Prodigy,Fight Fire with Fire (feat. Ho99o9),0.384,0.963,0.0118,192.393,Electronic
Alison Wonderland,Awake - KRANE Remix,0.544,0.765,3.14e-4,142.017,Electronic
Cold War Kids,Restless,0.555,0.641,4.42e-6,125.974,Rock
Peach Pit,Sweet FA,0.574,0.495,6.52e-4,145.085,Rock
Gustav Holst,"The Planets, Op. 32, H. 125: I. Mars, the Bringer of War",0.292,0.347,0.886,78.563,Classical
The Notorious B.I.G.,Somebody's Gotta Die - 2014 Remastered Version,0.488,0.905,0,82.385,Hip-Hop
Annie Lennox,"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",0.563,0.383,2.59e-6,173.984,Rock
Merle Haggard & The Strangers,Silver Wings,0.53,0.268,2.94e-4,105.913,Country
Cam,Road To Happiness,0.505,0.201,7.38e-5,173.816,Country
Red Hot Chili Peppers,Dani California,0.553,0.865,1.05e-5,96.161,Rock
Killswitch Engage,This Fire,0.447,0.993,0.027,140.018,Rock
Party Favor,Mr Brass,0.719,0.517,4.19e-4,160.014,Electronic
DJ Snake,Let Me Love You - Don Diablo Remix,0.681,0.856,3.19e-4,125.962,Electronic
Pyotr Ilyich Tchaikovsky,"The Nutcracker, Op.71 : No. 8 In the Christmas Tree",0.117,0.139,0.935,53.894,Classical
empty_field,Sleeping Bag,0.674,0.646,0,160.028,Rap
Crossfade,Cold,0.451,0.815,0,147.974,Rock
Giacomo Puccini,Minuet No. 1,0.186,0.27,0.911,147.298,Classical
Kenny Chesney,When I See This Bar - Live,0.561,0.868,3.75e-6,112.279,Country
AminÃ©,Blinds,0.817,0.45,0,90.104,Rap
Iggy Azalea,Work,0.697,0.808,0,140.013,Rap
The Hollies,The Air That I Breathe - 2008 Remastered Version,0.279,0.473,0.00164,167.792,Rock
Propellerheads,Take California - Short One,0.715,0.873,0.733,119.881,Electronic
Monetochka,_Ÿ__ÑÅÑ‚-_¿__ÑÅÑ‚,0.576,0.366,1.85e-6,126.32,Electronic
Brillz,Callisto,0.416,0.823,0.0141,104.807,Electronic
Eric Church,Guys Like Me,0.446,0.793,1.15e-6,158.103,Country
Eric Paslay,Friday Night,0.657,0.841,0,120.009,Rock
Liquid Stranger,"Echo Feat. KJ Sawka, Christian Acamo",0.484,0.703,9.04e-6,100.028,Electronic
Young Nudy,Do That,0.819,0.54,0,140.035,Hip-Hop
Kanye West,Heard 'Em Say,0.736,0.702,0.0394,94.857,Rap
Cheap Trick,"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",0.338,0.887,0.011,206.255,Rock
